special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes
,,,,2008-09-30,32,Hiphopopotamus,Flight of the Conchords,,,Funny Kiwis.,,,
,,,,2008-09-30,33,Malibu Love Nest,Luna,,,Loves that Dean Warehams -- Sounds like Giant Sand,,,
,,,,2008-09-30,34,Indian Summer,Benjamin Gibbard,,,From Death Cab / Postal Service,,,
,,,,2008-09-30,35,BREAK,,,,BREAK,X,,
,,,,2008-09-30,36,Salsa + Microchips,DJ Me DJ You,,,"Sukia descendants, as promised",,,
,,,,2008-09-30,37,Faded Away,A Big Yes + A Small No,,,Another vibe solo!,,,
,,,,2008-09-30,38,Submarine #3,Starlight Mints,,,Lush pop is my weakness.,,,
,,,,2008-09-30,39,Carl Sagan,Boneless Children Society,,,Carl Sagan says there are billions of stars.,,,
,,,,2008-09-30,40,BREAK,,,,BREAK,X,,
,,,,2008-09-30,41,Santa Maria,Gotan Project,,,Downtempo tango to lull you into jazz.,,,
,,,,2008-10-07,00,Playlist for 2008-10-07,,,,,X,,
,,,,2008-10-07,01,Reggae Hit LA,Aggrolites,,,LA roots reggae!,,,
,,,,2008-10-07,02,BREAK,,,,BREAK,X,,
,,,,2008-10-07,02,Boycott,Mood Elevator,,,feat. Brendan Benson,,,
,,,,2008-10-07,03,Hostile Bridge to Benny’s,Steward Copeland,,,Rumblefish soundtrack!,,,
,,,,2008-10-07,04,Afro Strut,Nite-Liters,,,From the Flying Funk comp. Desco records,,,
,,,,2008-10-07,05,You Are Never Alone,Socalled,,,via Geoffrey! ‘Alo Geoffrey!,,,
,,,,2008-10-07,06,BREAK,,,,BREAK,X,,
,,,,2008-10-07,07,Chain Saw,Ramones,,,Classic!,,,
,,,,2008-10-07,08,Life is So Sweet,Garageland,,,NZ!,,,
,,,,2008-10-07,09,Life is Still Sweet,White Hassle,,,Sweeeet!,,,
,,,,2008-10-07,10,BREAK,,,,BREAK,X,,
,,,,2008-10-07,11,Gonna Be Some Cake Tonight,We Wrote The Book on Connectors,,,Band name winnah!,,,
,,,,2008-10-07,12,Furry Green Atom Bowl,Robyn Hitchcock,,,"Solo album, I Always Dream Of Trains",,,
,,,,2008-10-07,13,Heaven Is for Easy Girls,The Awkward Stage,,,Canadia,,,
,,,,2008-10-07,14,BREAK,,,,BREAK,X,,
,,,,2008-10-07,15,Feel The Rumble,Brother Big Bad,,,Can you,,,
,,,,2008-10-07,16,Ear To The Ground,Whiskey Daredevils,,,recognize,,,
